code,port,locality,state,country
PIA,,Greater Peoria,Illinois,Unites States
RFD,,Greater Rockford,Illinois,Unites States
UGN,Waukegan Memorial Airport,Waukegan,Illinois,Unites States
GAR,,Gary,Indiana,Unites States
HMM,,Hammond,Indiana,Unites States
INP,,Indianapolis,Indiana,Unites States
MRL,,Merrillville,Indiana,Unites States
SBN,,South Bend,Indiana,Unites States
ICT,Mid Continent/Witchita Airport,Witchita,Kansas,Unites States
LEX,Blue Grass Airport,Lexington,Kentucky,Unites States
LOU,,Louisville,Kentucky,Unites States
BTN,,Baton Rouge,Louisiana,Unites States
LKC,,Lake Charles,Louisiana,Unites States
LAK,,Lake Charles,Louisiana,Unites States
MLU,,Monroe,Louisiana,Unites States
MGC,,Morgan City,Louisiana,Unites States
NOL,,New Orleans,Louisiana,Unites States
BOS,,Boston,Massachusetts,Unites States
GLO,,Gloucester,Massachusetts,Unites States
BED,Hanscom Field Airport,Bedford,Massachusetts,Unites States
LYN,,Lynden,Washington,Unites States
ADW,Andrews AFB,Morningside,Maryland,Unites States
BAL,,Baltimore,Maryland,Unites States
MKG,,Muskegon,Michigan,Unites States
PAX,,Patuxent River,Maryland,Unites States
BGM,,Bangor,Maine,Unites States
BOO,,Boothbay Harbor,Maine,Unites States
BWM,,Bridgewater,Maine,Unites States
BCK,,Buckport,Maine,Unites States
CLS,,Calais,Maine,Unites States
CRB,,Caribou,Maine,Unites States
COB,,Coburn Gore,Maine,Unites States
EST,,Eastcourt,Maine,Unites States
EPT,,Eastport Municipal,Maine,Unites States
EPM,,Eastport,Maine,Unites States
FOR,,Forest City,Maine,Unites States
FTF,,Fort Fairfield,Maine,Unites States
FTK,,Fort Kent,Maine,Unites States
HML,,Hamlin,Maine,Unites States
HTM,,Houlton,Maine,Unites States
JKM,,Jackman,Maine,Unites States
KAL,,Kalispel,Montana,Unites States
LIM,,Limestone,Maine,Unites States
LUB,,Lubec,Maine,Unites States
MAD,,Madawaska,Maine,Unites States
POM,,Portland,Maine,Unites States
RGM,,Rangeley,Maine,Unites States
SBR,,South Brewer,Maine,Unites States
SRL,,St Aurelie,Maine,Unites States
SPA,,St Pampile,Maine,Unites States
VNB,,Van Buren,Maine,Unites States
VCB,,Vanceboro,Maine,Unites States
AGN,,Algonac,Michigan,Unites States
ALP,,Alpena,Michigan,Unites States
BCY,,Bay City,Michigan,Unites States
DET,,Detroit,Michigan,Unites States
GRP,,Grand Rapids,Michigan,Unites States
GRO,,Grosse Isle,Michigan,Unites States
ISL,,Isle Royale,Michigan,Unites States
MRC,,Marine City,Michigan,Unites States
MRY,,Marysville,Michigan,Unites States
PTK,Oakland County - Pontiac Airport,Pontiac,Michigan,Unites States
PHU,,Port Huron,Michigan,Unites States
RBT,Roberts Landing,Cheboygan,Michigan,Unites States
SAG,,Saginaw,Michigan,Unites States
SSM,,Sault Ste Marie,Michigan,Unites States
SCL,,St Clair,Michigan,Unites States
YIP,,St Clair,Michigan,Unites States
BAU,,Baudette,Minnesota,Unites States
CAR,Caribou Muncipal Airport,Caribou,Minnesota,Unites States
CRA,,Crane Lake,Minnesota,Unites States
MIC,Crystal Muncipal Airport,Crystal,Minnesota,Unites States
DUL,,Duluth,Minnesota,Unites States
ELY,,Ely,Minnesota,Unites States
GPM,,Grand Portage,Minnesota,Unites States
SVC,Grant County - Silver City Airport,Silver City,Minnesota,Unites States
INT,,International Falls,Minnesota,Unites States
LAN,,Lancaster,Minnesota,Unites States
MSP,,St Paul,Minnesota,Unites States
LIN,Northern Silver City Center,Silver City,Minnesota,Unites States
NOY,,Noyes,Minnesota,Unites States
PIN,,Pine Creek,Minnesota,Unites States
48Y,Pinecreek Border Airport,Pinecreek,Minnesota,Unites States
RAN,,Rainer,Minnesota,Unites States
RST,,Rochester,Minnesota,Unites States
ROS,,Roseau,Minnesota,Unites States
SPM,,St Paul,Minnesota,Unites States
WSB,Warroad International Memorial Airport,Warroad,Minnesota,Unites States
WAR,,Warroad,Minnesota,Unites States
KAN,,Kansas City,Missouri,Unites States
SGF,Springfield-Branson Airport,Springfield,Missouri,Unites States
STL,,St Louis,Missouri,Unites States
WHI,,Whitetail,Montana,Unites States
WHM,Wild Horse Border Crossing,Havre,Montana,Unites States
GPT,Biloxi Regional Airport,Biloxi,Mississippi,Unites States
GTR,Golden Triangle Lowndes County Airport,Columbus,Mississippi,Unites States
GUL,,Gulfport,Mississippi,Unites States
PAS,,Pascagoula,Mississippi,Unites States
JAN,Thompson Field - Jackson Airport,Jackson,Mississippi,Unites States
BIL,,Billings,Montana,Unites States
BTM,,Butte,Montana,Unites States
CHF,,Chief Mountain,Montana,Unites States
CTB,Cut Bank Muncipal Airport,Cut Bank,Montana,Unites States
CUT,,Cut Bank,Montana,Unites States
DLB,,Del Bonita,Montana,Unites States
EUR,,Eureka,Montana,Unites States
BZN,Gallatin Field - Bozeman Airport,Bozeman,Montana,Unites States
FCA,Glacier International Park Airport,Kalispell,Montana,Unites States
GGW,,Glasgow,Montana,Unites States
GRE,,Great Falls,Montana,Unites States
HVR,,Havre,Montana,Unites States
HEL,,Helena,Montana,Unites States
LWT,,Lewiston,Montana,Unites States
MGM,,Morgan,Montana,Unites States
OPH,,Opheim,Montana,Unites States
PIE,,Piegan,Montana,Unites States
RAY,,Raymond,Montana,Unites States
ROO,,Roosville,Montana,Unites States
SCO,,Scobey,Montana,Unites States
SWE,,Sweetgtass,Montana,Unites States
TRL,Trial Creek,Bozeman,Montana,Unites States
TUR,,Turner,Montana,Unites States
WCM,,Willow Creek,Montana,Unites States
CLT,,Charlotte,North Carolina,Unites States
FAY,,Fayetteville,North Carolina,Unites States
MRH,,Morehead City,North Carolina,Unites States
FOP,Morris Fields AAF,Morris Field,North Carolina,Unites States
GSO,Piedmont Triad International Airport,Greensboro,North Carolina,Unites States
RDU,Raleigh/Durham International Airport,Raleigh,North Carolina,Unites States
SSC,Shaw AFB,Sumter,North Carolina,Unites States
WIL,,Wilmington,North Carolina,Unites States
AMB,,Ambrose,North Dakota,Unites States
ANT,,Antler,North Dakota,Unites States
CRY,,Carbury,North Dakota,Unites States
DNS,,Dunseith,North Dakota,Unites States
FAR,,Fargo,North Dakota,Unites States
FRT,,Fortuna,North Dakota,Unites States
GRF,,Grand Forks,North Dakota,Unites States
HNN,,Hannah,North Dakota,Unites States
HNS,,Hansboro,North Dakota,Unites States
MAI,,Maida,North Dakota,Unites States
MND,,Minot,North Dakota,Unites States
NEC,,Neche,North Dakota,Unites States
NOO,,Noonan,North Dakota,Unites States
NRG,,Northgate,North Dakota,Unites States
PEM,,Pembina,North Dakota,Unites States
SAR,,Sarles,North Dakota,Unites States
SHR,,Sherwood,North Dakota,Unites States
SJO,,St John,North Dakota,Unites States
WAL,,Walhalla,North Dakota,Unites States
WHO,,Westhope,North Dakota,Unites States
WND,,Williston,North Dakota,Unites States
OMA,,Omaha,Nebraska,Unites States
LEB,,Lebanon,New Hampshire,Unites States
MHT,,Manchester,New Hampshire,Unites States
PNH,,Pittsburg,New Hampshire,Unites States
PSM,,Portsmouth,New Hampshire,Unites States
BYO,,Bayonne,New Jersey,Unites States
CNJ,,Camden,New Jersey,Unites States
HOB,,Hoboken,New Jersey,Unites States
JER,,Jersey City,New Jersey,Unites States
WRI,McGuire AFB,Wrightsown,New Jersey,Unites States
MMU,,Morristown,New Jersey,Unites States
NEW,,Newark,New Jersey,Unites States
PER,,Perth Amboy,New Jersey,Unites States
ACY,,Atlantic City,New Jersey,Unites States
ALA,,Alamagordo,New Mexico,Unites States
ABQ,,Albuquerque,New Mexico,Unites States
ANP,,Antelope Wells,New Mexico,Unites States
